"division","tPeriod","sapPlant","family","baseModel","model","name","hours","package","dealer","retailDealer","country","customer","sapStatus","intSupplier","failedPart","supplier","dCode","failedAt","sCategory","sCategoryDetail","buildmonth","buildDate","soldDate","failDate","claimDate","dealerCreditDate","supplierClaimDate","claimNumber","wClaimNumber","engineManufacturer","engineSerialNumber","description","failedPartQuantity","labHrsClaimed","labHrsPaid","partsCosts","labour","travel","otherCosts","uplift","creditVAT","cost","importedDate","importDate","importWeek","postCutIn","nameCount","fourC","status","vetted"
"BHL","T002","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX STAGEV","3CX 14H5NM","3015497","378","S013 -Standard 24 months 4000hrs","0004004775 -COMASCO LTD","0004004775 -COMASCO LTD","Israel","COMASCO","0239 -Error in rule engine OC","NON","721/X6461 -HARNESS MAINFRAME STG V 7","MURAT TICARET KABLO SAN. A.S.","J -SHORT CIRCUIT/BURN OUT","C -ELECTRICS","9 -WIRING","16 -HARNESS CAB","MAR 2022","14/03/2022","31/08/2022","06/10/2022","11/12/2022","2022-12-12T00:00:00.000Z","#","201363442","#","JCB","DP320/41689U0920222","Electrical problems on the main frame harness. Need to tow the machine to work shop main frame  harness short circuit Technician on worksite found main frame  harness pressed against the chassis Machine towed to workshop remove cabin  and replaced the main frame  harness. Computer check and visual. Found indication of damaged harness. During the cabin removal we found also the exhaust  SCR can starching the harness because bolts of bracket missing and exhaust  not placed right. After technician removed everything he needed he straightened the exhaust SCR  and fitted the bolts of the brackets.",1,22,22,322.56,0,0,0,547.85,3321.77,0,"2022-12-12T14:05:40.097Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T002","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX STAGEV","3CX 14H5WM","3015433","292","S001 -Standard 12 months","0004004741 -T C HARRISON JCB SEDGEFIELD","0004004729 -T C HARRISON JCB ALFRETON","United Kingdom","CAR CONSTRUCTION (NORTH EAST) LTD","0300 -Claim posted FI/CO (OC)","NON","333/P7728 -M/Cd CARRIER 14ft stdlift","JCB Internally Manufactured Compone","D -DIMENSION/MANUFACTURE","B -BODYWORK","6 -DIPPER","00 -DIPPER MISCELLANEOUS","MAR 2022","31/03/2022","31/08/2022","26/10/2022","08/12/2022","2022-12-09T00:00:00.000Z","2022-12-09T00:00:00.000Z","201363368","301324174","JCB","DP320/41689U0878222","TRANSPORT/CROSS HIRE TO FOLLOW - CHECK BACK END FOR ALIGNMENT ISSUE TRANSPORT/CROSS HIRE TO FOLLOW - DIPPER CARRIER NOT TRUE/ALIGNMENT ISSUE TRANSPORT/CROSS HIRE TO FOLLOW - TTS, customer reports issue that dipper was twisted, inspect dipper and take measurements and photos techweb made. 2247467. return to site wait for machine to become available as they had tarmac arrive. Carried out tests as asked to do on techweb 2247467 took all all measurements and photos and uploaded to Techweb. Machine brought into TCH as dipper was requiring to be removed for tests/measurements, Removed dipper from m",1,14,14,699.19,637,80,8.13,222.42,2941.49,1646.74,"2022-12-12T14:05:40.097Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T002","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX STAGEV","3CX 14H5WM","3141994","118","S001 -Standard 12 months","0004004725 -WATLING JCB LTD - WYMONDHAM.","0004004737 -WATLING JCB LTD - LEICESTER","United Kingdom","ARDENT HIRE SOLUTIONS","0216 -Waiting for Parts","NON","728/J8518 -LIVELINK 4 2020 ECU 12/24","MICROLISE LTD","I -INOPERATIVE","C -ELECTRICS","6 -EQUIPMENT","25 -TRACKER","SEP 2022","13/09/2022","20/09/2022","26/10/2022","08/12/2022","2022-12-09T00:00:00.000Z","#","201363235","#","JCB","DP320/41689U2775622","Complaint - livelink not reporting,  Cause - susepect livelink ecu failed, **JLL12796** Correction - travelled to site and located machine. found livelink ecu offline. checked all fuses and were all ok. removed dashboard for access to the livelink ecu. removed ecu and unplugged. checked all earths and lives were all ok. checked can resistance and was all ok. refitted livelink ecu and reassembled dash. found ecu still offline. suspect ecu faulty. tidied work area and packed away tools. site asked for a days warning before attending site.  Can connect to live link but info no appearing in boxes",1,4,4,79.78,0,0,0,21.97,710.05,0,"2022-12-12T14:05:40.099Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T002","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CXCOMP STAGEV","3CX 10L5WL","3186524","25","S001 -Standard 12 months","0004004838 -GREENSHIELDS JCB LTD - BRAINTREE","0004004911 -GREENSHIELDS JCB LTD - WROTHAM","United Kingdom","LONDON BOROUGH OF BARKING & DAGENHA","0239 -Error in rule engine OC","NON","728/H7755 -PC4 AUX ECU","PARKER HANNIFIN LTD (GBP)","U -UNCONNECTED/OPEN CIRCUIT","C -ELECTRICS","8 -SWITCH","07 -AUX HYDS ECU","SEP 2022","27/09/2022","31/10/2022","06/12/2022","07/12/2022","2022-12-10T00:00:00.000Z","#","201363811","#","#","ED370072SV5211101290","Excavator arm extension not extending. Started machine and tried to retract boom. When operating the switch, cannot hear the function trying to work. Checked the switch to see if the changeover could be heard but could not hear it. Checked the back of the switch and connector wasnt fully fitted. Fitted the connector fully and tested machine. Boom now extends and retracts. Machine all ok.",0,1,1,0,0,0,0,0,246.6,0,"2022-12-12T14:05:40.100Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T002","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CXCOMP STAGEV","3CX 10L5WM","3186519","103","S001 -Standard 12 months","0004004873 -SCOT JCB LTD - NEWCASTLE","0004004736 -SCOT JCB LTD - GLASGOW","United Kingdom","RAINTON CONSTRUCTION LTD","0239 -Error in rule engine OC","CABS","721/F3118 -HARNESS CAB PANEL DA HYDR","LEONI WIRING SYSTEMS UK (EUR)","I -INOPERATIVE","C -ELECTRICS","9 -WIRING","16 -HARNESS CAB","AUG 2022","31/08/2022","09/09/2022","21/10/2022","08/12/2022","2022-12-09T00:00:00.000Z","#","201363014","#","#","ED370072SV5207400830","Complaint: Customer reported intermittent loss of reverse and hammer service. Cause: Ref techweb 2246034 this needle in a haystack job was eventually traced to intermittent continuity issue within the cab harness. Ref techweb 2246034 and help from tech service it took us 1 month and 174 man hours to get to the bottom and rectify this is Travelled to site and inspected machine due to intermittent loss of reverse and forward and the breaker function. Tested machine and warmed to operating temperature but machine did not fault. Removed breaker switch and tested power going to the breaker switch",1,80,80,888.8,0,0,0,234.5,7559.21,0,"2022-12-12T14:05:40.100Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T002","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","SERVO STAGEV","3CX 14H5WA","3140350","20","S001 -Standard 12 months","0004004985 -C F C HOLDINGS PTY LTD - MELBOURNE","0004005179 -C F C HOLDINGS PTY LTD","Australia","DOWNER EDI WORKS PTY LTD","0300 -Claim posted FI/CO (OC)","NON","813/10186 -GASKET - HYDRAULIC FILTER COVER","M BARNWELL SERVICES LTD.","L -LEAKING","B -BODYWORK","2 -REARFRAME","22 -DIESEL TANK COVER","JUN 2022","28/06/2022","30/09/2022","22/11/2022","08/12/2022","2022-12-09T00:00:00.000Z","2022-12-09T00:00:00.000Z","201363470","301324388","JCB","DP320/41689U1987422","Hydraulic oil discolored There was no gasket fitted to the top cover of the hydraulic tank, allowing water to enter and contaminate the oil, MPFN: 813/10186 Replace gasket and clean out the hydraulic tank and lines as best as possible. Sublet Pure Lubricants were commissioned to flush the machine hydraulic system to remove the water.",2,9.370000000000001,9.370000000000001,11.83,702.75,0,791.13,23.11,1164.87,1137.32,"2022-12-12T14:05:40.104Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T003","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX","3CX 14LFCM","3140431","29","S031 -Standard 60 months 5000hrs","JCB2401 -JCB INC","0004000424 -SUNBELT RENTALS, INC.","USA","SUNBELT RENTALS INC","0239 -Error in rule engine OC","NON","704/E4202 -FUEL LEVEL SENDER","L.A.P ELECTRICAL LIMITED","I -INOPERATIVE","C -ELECTRICS","8 -SWITCH","53 -FUEL SENDER","JUN 2022","24/06/2022","27/09/2022","29/11/2022","09/12/2022","2022-12-10T00:00:00.000Z","#","201364133","#","JCB","SL320/40371U2030922","Asset will not run. When put under a load the unit will not perform. 1ST:Hooked up laptop and found that unit was throwing rail pressure codes. Ran some engine test and unit wouldn<(>&<)>#39;t stay running while testing. When installing fuel filter found that second filter was empty. Checked tank and found that tank was empty even t Removed fuel tank and replaced fuel sender. Tested OK REFERENCE CLAIM: 100251128",0,2.25,2.25,0,0,0,0,0,172.83,0,"2022-12-12T14:05:40.105Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T003","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX","3CX 14M2WM","3140715","320","S001 -Standard 12 months","0004005352 -TEGETA CONSTRUCTION EQUIPMENT","0004005352 -TEGETA CONSTRUCTION EQUIPMENT","Georgia","VACHE MANUKYAN","0239 -Error in rule engine OC","NON","729/10642 -BATTERY WET 642","PLATINUM INTERNATIONAL LTD","I -INOPERATIVE","C -ELECTRICS","3 -CHARGE","90 -BATTERY","JUN 2022","30/06/2022","29/09/2022","28/11/2022","10/12/2022","2022-12-11T00:00:00.000Z","#","201364206","#","JCB","SB320/40344U2137422","The battery is in operative. The battery has no external damages. The alternator is checked. Works properly The battery is tested, the test results receipt is attached in photos. The battery is inoperative. Replaced",1,2,2,64.39,0,0,0,32.9,182.57,0,"2022-12-12T14:05:40.106Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T003","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX","4CXS15H2WM","3140602","860","S001 -Standard 12 months","0004005352 -TEGETA CONSTRUCTION EQUIPMENT","0004005352 -TEGETA CONSTRUCTION EQUIPMENT","Georgia","MILKIZ AGRO LLC","0239 -Error in rule engine OC","NON","333/E8468 -ABI HOSE 1/2 BSP HP 2150A LT","PARKER HANNIFIN LTD (GBP)","L -LEAKING","E -HYDRAULICS","6 -HOSES","90 -HP HOSES","JUN 2022","28/06/2022","29/09/2022","05/12/2022","10/12/2022","2022-12-11T00:00:00.000Z","#","201364231","#","JCB","SB320/40345U2076922","The hose is leaking No external damag is found. Due to the manufacturer installtion it caused the hose damage. Replaced",1,3,3,46.14,0,0,0,25.95,172.46,0,"2022-12-12T14:05:40.106Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T003","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX STAGEV","3CX 14H5NM","3139480","530","S013 -Standard 24 months 4000hrs","0004004775 -COMASCO LTD","0004004775 -COMASCO LTD","Israel","COMASCO","0239 -Error in rule engine OC","NON","402/H7939 -MOUNT SENSOR 2WS","NSI GROUP LTD","I -INOPERATIVE","C -ELECTRICS","8 -SWITCH","00 -SENSOR MISC","APR 2022","29/04/2022","18/08/2022","23/10/2022","11/12/2022","2022-12-12T00:00:00.000Z","#","201363429","#","JCB","DP320/41689U1493422","Lock up inoperative. Machine checked at Comasco and found inoperative. Parts orderered from JCB Parts arrived and torque lock up bracket replaced and shims fitted to allow for adjustment.",1,2.5,2.5,2.76,0,0,0,6.89,189.41,0,"2022-12-12T14:05:40.107Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T003","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","SERVO","3CX 14M3WA","3140832","306","S001 -Standard 12 months","0004005323 -SIF IS MAKINALARI PAZARLAMA SAN. ve","0004005323 -SIF IS MAKINALARI PAZARLAMA SAN. ve","Turkey","MERT HAFRIYAT - FEVZI KOSTEK","0300 -Claim posted FI/CO (OC)","NON","333/C7087 -LOADER VALVE 3sp PC4","BOSCH REXROTH LIMITED","A -ADJUSTMENT/PRESSURE","E -HYDRAULICS","6 -HOSES","12 -LOADER VALVE FEED/RTN","JUL 2022","09/07/2022","20/09/2022","01/12/2022","08/12/2022","2022-12-09T00:00:00.000Z","2022-12-09T00:00:00.000Z","201363164","301324415","JCB","SD320/40545U2174422","There was noise in the system while the hydraulic movements on. When the sound in the system was checked, it was determined that a bolt was jammed between the pressure hose of the hydraulic system and the valve, and a sound was made when the hose hit the bolt and the bolt hit the chassis during the stroke. The problem solved with taken bolts and corrected hose.",0,1,1,0,37.82,0,8.13,0,37.82,45.95,"2022-12-12T14:05:40.109Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T003","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","SERVO STAGEV","3CX 14H5WA","3139754","465","S003 -Standard 24 months 2000hrs","0004005310 -CML BULGARIA AD","0004005310 -CML BULGARIA AD","Bulgaria","TEMPOTRANS","0300 -Claim posted FI/CO (OC)","NON","332/C9990 -  NE SENSOR 3 WAY DTM","TE CONNECTIVITY SOLUTIONS GMBH (EUR","I -INOPERATIVE","C -ELECTRICS","8 -SWITCH","00 -SENSOR MISC","MAY 2022","20/05/2022","31/08/2022","24/11/2022","08/12/2022","2022-12-09T00:00:00.000Z","2022-12-09T00:00:00.000Z","201363351","301324270","JCB","DP320/41689U1677522","The brake stop lights were constantly on. Fifth gear did not engaged. We verified the machine and after inspection of the harness the problem was found in Sensor Vane 3 Way DTM (332/C9990), Harness Brake Link (721/L0302), Harness DTM link (721/R1187) and Relay 35/20A 12V, micro (resistor type) (716/E0156). According to bulletin 2/849, we replaced  Sensor Vane 3 Way DTM (332/C9990), Harness Brake Link (721/L0302), Harness DTM link (721/R 1187) and Relay 35/20A 12V, micro (resistor type) (716/E0156) with new ones and the machine was tested. It worked properly. Please see photos attached.",1,2,2,21.65,38.66,0,8.13,11.34,118.28,79.78,"2022-12-12T14:05:40.111Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","T003","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","SERVO STAGEV","3CX 14H5WA","3140132","110","S001 -Standard 12 months","0004004873 -SCOT JCB LTD - NEWCASTLE","0004004736 -SCOT JCB LTD - GLASGOW","United Kingdom","D W & E E CONLEY HAULAGE & PLANT HI","0239 -Error in rule engine OC","NON","31AP/DA036 -Hose","PARKER HANNIFIN LTD (GBP)","L -LEAKING","E -HYDRAULICS","6 -HOSES","00 -MISC.","JUN 2022","10/06/2022","20/09/2022","01/12/2022","09/12/2022","2022-12-10T00:00:00.000Z","#","201363765","#","JCB","DP320/41689U1375522","Customer reported Hydraulic leak under cab above rear axle.  Loose fitting at rear axle T piece causing oil leak. Cure: 7236-Tts. Oil found to be leaking from above rear axle at T piece. Fitting on pipe at T piece found to be hand tight, tightened and machine ran up. All ok no leaks present.",0,2.5,2.5,0,0,0,0,0,232.5,0,"2022-12-12T14:05:40.111Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","DOA","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CX/4CX STAGEV","3CX 14H5NM","3142144","5","S001 -Standard 12 months","JCB8401 -JCB S.P.A.","JCB8401 -JCB S.P.A.","Italy","JCB ITALY - CONSTRUCTION","0239 -Error in rule engine OC","NON","913/10213 -CONTROL ROD 395mm","CATTON CONTROLS CABLES LTD","A -ADJUSTMENT/PRESSURE","D -CONTROLS","2 -LEVERS/PEDALS","14 -VALVE STABILISER","SEP 2022","26/09/2022","30/11/2022","28/11/2022","01/12/2022","2022-12-10T00:00:00.000Z","#","201360223","#","JCB","DP320/41689U2913322","excessive sensitivity on stabiliser lever control rods tightened beyond tolerance adjusted both control rods and test rods until smooth and even, left machine in perfect working order",0,1,1,0,0,0,0,0,39.5,0,"2022-12-12T14:05:40.119Z","12/12/2022","50","Yes",0,"No","Open","No"
"BHL","DOA","3710 -Backhoe Loader Division","BHL -Backhoe Loaders","3CXCOMP STAGEV","3CX 10L5WL","3186618","7","S001 -Standard 12 months","0004004879 -GREENSHIELDS JCB LTD - FARNHAM","0004004911 -GREENSHIELDS JCB LTD - WROTHAM","United Kingdom","#","0239 -Error in rule engine OC","NON","700/50024 -LENS CRL300 ACRYLI","PEREI LIGHTING","K -CRACKED/SPLIT/TORN","C -ELECTRICS","1 -LIGHTS","32 -STOP/TAIL LENS","NOV 2022","12/11/2022","Invalid date","22/11/2022","09/12/2022","2022-12-10T00:00:00.000Z","#","201364031","#","#","ED370072SV5211601250","broken tail light lense on delivery Found during PDI Found light cracked from manufacture. Required replacing remove broken lens and replace with replacement new lens. Functio n test lights, repair complete",1,1,1,3.52,0,0,0,1.67,76.68,0,"2022-12-12T14:05:40.122Z","12/12/2022","50","Yes",0,"No","Open","No"
